iter	Passed	Remaining
0	50	15243
1	101	15157
2	154	15323
3	213	15822
4	266	15695
5	320	15684
6	375	15714
7	430	15713
8	485	15683
9	551	15996
10	609	16011
11	662	15896
12	721	15919
13	777	15891
14	835	15866
15	891	15822
16	946	15760
17	1010	15824
18	1069	15817
19	1138	15932
20	1253	16649
21	1312	16589
22	1379	16618
23	1435	16506
24	1461	16076
25	1513	15953
26	1572	15900
27	1626	15800
28	1680	15702
29	1735	15621
30	1792	15550
31	1857	15560
32	1912	15475
33	1967	15390
34	2024	15325
35	2079	15250
36	2144	15240
37	2199	15166
38	2253	15083
39	2305	14987
40	2360	14914
41	2414	14834
42	2472	14774
43	2526	14699
44	2580	14624
45	2634	14548
46	2687	14464
47	2739	14382
48	2792	14306
49	2847	14239
50	2923	14273
51	2992	14272
52	3047	14201
53	3102	14135
54	3156	14061
55	3211	13992
56	3263	13911
57	3317	13841
58	3372	13774
59	3424	13696
60	3478	13628
61	3530	13553
62	3583	13481
63	3638	13417
64	3706	13401
65	3764	13347
66	3818	13280
67	3871	13207
68	3924	13137
69	3971	13049
70	4019	12963
71	4072	12896
72	4126	12832
73	4180	12766
74	4237	12711
75	4291	12648
76	4325	12526
77	4375	12453
78	4439	12420
79	4483	12330
80	4539	12273
81	4593	12210
82	4649	12154
83	4702	12091
84	4757	12032
85	4822	12000
86	4873	11932
87	4929	11875
88	4983	11814
89	5036	11752
90	5089	11688
91	5142	11627
92	5213	11603
93	5269	11548
94	5327	11495
95	5382	11437
96	5413	11328
97	5457	11250
98	5513	11194
99	5569	11138
100	5622	11077
101	5676	11019
102	5730	10960
103	5784	10902
104	5839	10844
105	5894	10787
106	5962	10754
107	6018	10699
108	6071	10639
109	6125	10580
110	6182	10527
111	6238	10471
112	6294	10416
113	6350	10361
114	6403	10301
115	6458	10245
116	6513	10188
117	6571	10136
118	6626	10079
119	6683	10025
120	6739	9969
121	6796	9915
122	6850	9857
123	6902	9797
124	6967	9755
125	7024	9700
126	7081	9646
127	7133	9586
128	7189	9530
129	7245	9474
130	7299	9417
131	7354	9360
132	7412	9307
133	7466	9249
134	7519	9189
135	7576	9135
136	7630	9078
137	7697	9035
138	7762	8990
139	7823	8940
140	7883	8889
141	7946	8841
142	8006	8789
143	8067	8739
144	8118	8678
145	8177	8626
146	8239	8575
147	8298	8522
148	8353	8465
149	8411	8411
150	8468	8356
151	8525	8300
152	8583	8247
153	8640	8191
154	8696	8135
155	8752	8078
156	8811	8025
157	8869	7971
158	8931	7920
159	8996	7871
160	9063	7825
161	9150	7794
162	9225	7753
163	9333	7740
164	9431	7716
165	9497	7666
166	9551	7606
167	9603	7545
168	9657	7486
169	9726	7438
170	9791	7386
171	9878	7351
172	9957	7309
173	10045	7274
174	10148	7249
175	10226	7205
176	10291	7151
177	10361	7101
178	10440	7057
179	10508	7005
180	10575	6952
181	10641	6899
182	10771	6886
183	10840	6834
184	10909	6781
185	10978	6728
186	11045	6674
187	11114	6621
188	11183	6568
189	11251	6514
190	11323	6462
191	11389	6406
192	11463	6355
193	11556	6314
194	11736	6319
195	11832	6278
196	11892	6217
197	11962	6162
198	12024	6102
199	12089	6044
200	12167	5993
201	12251	5943
202	12326	5889
203	12403	5836
204	12477	5782
205	12556	5729
206	12631	5675
207	12709	5621
208	12771	5560
209	12827	5497
210	12898	5440
211	12954	5377
212	13017	5317
213	13083	5257
214	13159	5202
215	13236	5147
216	13359	5109
217	13438	5054
218	13503	4994
219	13572	4935
220	13637	4874
221	13703	4814
222	13769	4754
223	13834	4693
224	13900	4633
225	13967	4573
226	14025	4510
227	14086	4448
228	14147	4386
229	14207	4324
230	14273	4263
231	14337	4202
232	14399	4140
233	14463	4079
234	14521	4016
235	14583	3954
236	14641	3892
237	14706	3831
238	14768	3769
239	14829	3707
240	14891	3645
241	14953	3583
242	15019	3523
243	15086	3462
244	15154	3402
245	15223	3341
246	15289	3280
247	15365	3221
248	15438	3162
249	15515	3103
250	15587	3042
251	15650	2981
252	15707	2917
253	15777	2857
254	15839	2795
255	15905	2733
256	15986	2674
257	16052	2613
258	16117	2551
259	16181	2489
260	16244	2427
261	16305	2364
262	16369	2302
263	16433	2240
264	16499	2179
265	16565	2117
266	16622	2054
267	16682	1991
268	16798	1935
269	16883	1875
270	16950	1813
271	17037	1753
272	17098	1691
273	17166	1628
274	17242	1567
275	17308	1505
276	17369	1442
277	17427	1379
278	17486	1316
279	17543	1253
280	17600	1190
281	17660	1127
282	17717	1064
283	17776	1001
284	17827	938
285	17881	875
286	17934	812
287	17986	749
288	18034	686
289	18092	623
290	18146	561
291	18198	498
292	18251	436
293	18306	373
294	18363	311
295	18422	248
296	18481	186
297	18536	124
298	18589	62
299	18646	0
